accession_name	genome_accession	Sequence_abundance	Adjusted_ANI	Eff_cov	Contig_name	completeness	contamination	contigs	taxonomy	species	sample_name	fermented_food
7741_001_S26	FalardeauJ_2023__SRR20811279__bin.3	50.7744	99.72	265	NODE_1_length_274429_cov_22.9992_ID_7781	99.97	0.24	56	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus	Lactiplantibacillus plantarum	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	GCF_009913915.1_ASM991391v1_genomic	15.7184	99.79	124	GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome	100	0	3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc mesenteroides	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	MotaGutierrezJ_2021__SRR11602150__bin.9	11.2567	98.78	79	NODE_36_length_112572_cov_15.0000_ID_47355	99.42	0	110	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus	Levilactobacillus brevis	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	YasirM_2022__SRR18335011__bin.1	15.1165	99.85	72	NODE_1_length_110556_cov_44.9620_ID_22529	100	1.26	262	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus	Lactiplantibacillus pentosus	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	YulandiA_2020__SRS6115052__bin.21	3.5434	95.39	31	SRS6115052_k141_129	98.36400818	0	104	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella	Weissella paramesenteroides	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	KharnaiorP_2023__SRR22859379__bin.8	0.4809	98.85	4.914	NODE_3_length_161229_cov_37.0000_ID_62026	99.96	0.01	43	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	Pediococcus pentosaceus	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	LeechJ_2020__ERS3967691__bin.13	0.5513	99.09	4.593	ERS3967691_k141_96	92.61758691	1.533742331	211	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella	Weissella cibaria	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	GCF_002872255.1_ASM287225v1_genomic	0.5513	99.48	3.467	GCF_002872255.1_ASM287225v1_genomic_NZ_NIPR01000001.1 Companilactobacillus nuruki strain SYF10-1a 1, whole genome shotgun sequence	99.48	1.11	64	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Companilactobacillus	Companilactobacillus nuruki	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	EBC_080.1	0.6581	99.56	2.247	EBC_080.1_EBC_080_scaffold_1281	96.07	3.48	35	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Erwinia	Erwinia persicina	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101	0.3491	98.57	1.977	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101_NZ_WOTS01000010.1 Enterococcus lactis strain CICC 24101 NODE_10_length_82300_cov_4.602353, whole genome shotgun sequence	99.62	0	53	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B	Enterococcus B lactis	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
